Date,National_aviation
2002,6.5
2003,1.5
2004,2.5
2005,0.4
2006,8.4
2007,7.4
2008,7.4
2009,6.4
2010,6.4
2011,6.4
2012,7.4
2013,6.4
2014,4.4
2015,4.4
2016,6.4
2017,7.4
2018,9.5
2019,0.3
2020,1.3
2021,8.4
2022,7
