DATAFLOW,LAST UPDATE,freq,unit,tra_meas,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2005-09,75298,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2005-10,75294,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2005-11,82885,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2005-12,84178,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-01,83098,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-02,81944,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-03,92830,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-04,82139,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-05,82278,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-06,76310,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-07,81086,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-08,78194,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-09,92640,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-10,106963,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-11,112790,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2006-12,111371,
